"id","YearOfBirth","US_State","Education","Sex","PoliticalParty","Ideology","Condition","StartDate_T1T2","EndDate_T1T2","Duration_Total_T1T2","StartDate_T3","EndDate_T3","Duration_Total_T3","Duration_Filler_T1T2","Duration_Consensus_T1T2","Duration_Inoculation_T1T2","Duration_Misinfo_T3","AttentionCheck1_T1T2","AttentionCheck2_T3","Belief.T1","HumanCausation.T1","PSC.T1","Worry.T1","SupportForAction.T1","Belief.T2","HumanCausation.T2","PSC.T2","Worry.T2","SupportForAction.T2","Belief.T3","HumanCausation.T3","PSC.T3","Worry.T3","SupportForAction.T3","Complete","Consensus","Misinfo","Inoculation","PSC_Diff_T2T1","PSC_Diff_T3T2","PSC_Diff_T3T1","Belief_Diff_T2T1","Belief_Diff_T3T2","Belief_Diff_T3T1","HumanCausation_Diff_T2T1","HumanCausation_Diff_T3T2","HumanCausation_Diff_T3T1","Worry_Diff_T2T1","Worry_Diff_T3T2","Worry_Diff_T3T1","SupportForAction_Diff_T2T1","SupportForAction_Diff_T3T2","SupportForAction_Diff_T3T1","Education_Category","Age","Age_Category","Ideology_Category"
15,1986,"Mississippi","3","Female","Democrat",1,"Inoculation","2019-06-23 17:43:07","2019-06-23 17:47:20",252,"2019-06-30 14:47:54","2019-06-30 14:50:44",170,NA,NA,97.404,88.461,"blue","magenta",4,4,51,4,4,4,4,50,4,4,4,4,60,4,4,1,1,1,1,-1,10,9,0,0,0,0,0,0,0,0,0,0,0,0,"Some college",33,"30-49","Liberal"
16,1988,"Iowa","4","Male","Republican",5,"Inoculation","2019-06-23 17:32:44","2019-06-23 17:39:02",377,NA,NA,NA,NA,NA,206.414,NA,"blue",NA,7,7,98,5,5,7,7,97,6,6,NA,NA,NA,NA,NA,0,1,0,1,-1,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,"Undergraduate degree",31,"30-49","Conservative"
17,1960,"Michigan","4","Male","Independent",1,"Consensus","2019-06-23 17:48:08","2019-06-23 17:52:48",279,"2019-06-30 16:24:14","2019-06-30 16:27:02",167,NA,9.115,NA,NA,"blue","magenta",7,7,97,7,7,7,7,97,7,7,7,7,97,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",59,"50+","Liberal"
18,1961,"Minnesota","4","Female","Independent",3,"Control","2019-06-23 17:36:56","2019-06-23 17:40:08",192,"2019-07-01 16:00:59","2019-07-01 16:02:37",97,24.852,NA,NA,NA,"blue","magenta",7,6,100,7,7,7,6,100,7,7,7,6,98,7,7,1,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",58,"50+","Liberal"
19,1985,"Wisconsin","5","Female","Independent",5,"Inoculation","2019-06-23 17:02:15","2019-06-23 17:05:42",206,"2019-06-30 13:42:59","2019-06-30 13:45:09",129,NA,NA,42.21,37.255,"blue","magenta",5,4,80,3,4,5,4,97,3,4,5,4,97,4,4,1,1,1,1,17,0,17,0,0,0,0,0,0,0,1,1,0,0,0,"Graduate degree",34,"30-49","Conservative"
20,1983,"California","3","Female","Democrat",1,"Control","2019-06-23 17:22:36","2019-06-23 17:26:52",256,"2019-06-30 22:32:08","2019-06-30 22:35:17",188,31.308,NA,NA,NA,"blue","magenta",7,7,98,7,7,7,7,98,7,7,7,7,99,7,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Some college",36,"30-49","Liberal"
21,1987,"Tennessee","4","Male","Independent",4,"Consensus","2019-06-23 16:10:29","2019-06-23 16:13:10",161,"2019-07-02 02:34:22","2019-07-02 02:35:41",78,NA,6.25,NA,NA,"blue","magenta",5,6,93,5,6,6,6,97,5,6,7,6,90,5,6,1,1,0,0,4,-7,-3,1,1,2,0,0,0,0,0,0,0,0,0,"Undergraduate degree",32,"30-49","Moderate"
22,1980,"Hawaii","4","Female","Democrat",1,"Consensus","2019-06-23 17:54:00","2019-06-23 17:55:22",81,"2019-06-30 18:51:36","2019-06-30 18:52:16",40,NA,5.883,NA,NA,"blue","magenta",7,7,87,7,7,7,7,99,7,7,7,7,97,7,7,1,1,0,0,12,-2,10,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",39,"30-49","Liberal"
23,1963,"Florida","3","Male","Other",5,"Balanced","2019-06-23 17:02:25","2019-06-23 17:06:56",270,"2019-06-30 15:28:45","2019-06-30 15:33:47",301,NA,6.8,NA,40.922,"blue","magenta",7,2,95,2,2,7,2,97,2,2,7,1,95,1,1,1,1,1,0,2,-2,0,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,"Some college",56,"50+","Conservative"
24,1994,"Kentucky","4","Male","Democrat",1,"Balanced","2019-06-23 18:02:11","2019-06-23 18:03:57",106,"2019-06-30 14:46:07","2019-06-30 14:47:17",69,NA,6.11,NA,26.394,"blue","cyan",7,6,99,7,7,7,7,97,7,7,7,7,97,7,7,1,1,1,0,-2,0,-2,0,0,0,1,0,1,0,0,0,0,0,0,"Undergraduate degree",25,"18-29","Liberal"
25,1969,"Kentucky","4","Female","Democrat",2,"Consensus","2019-06-23 17:32:57","2019-06-23 17:36:24",207,"2019-06-30 19:05:33","2019-06-30 19:07:04",90,NA,9.448,NA,NA,"blue","magenta",7,7,98,7,7,7,7,97,7,7,7,7,98,7,6,1,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,"Undergraduate degree",50,"50+","Liberal"
26,1967,"Pennsylvania","2","Female","Democrat",2,"Consensus","2019-06-23 18:00:09","2019-06-23 18:05:31",322,"2019-06-30 15:43:44","2019-06-30 15:48:52",308,NA,8.086,NA,NA,"blue","magenta",7,6,88,7,7,7,6,97,7,7,7,6,97,6,7,1,1,0,0,9,0,9,0,0,0,0,0,0,0,-1,-1,0,0,0,"High school graduate",52,"50+","Liberal"
27,1987,"Iowa","4","Male","Democrat",3,"Balanced","2019-06-23 17:06:32","2019-06-23 17:11:16",284,"2019-06-30 15:42:16","2019-06-30 15:46:07",231,NA,19.784,NA,44.021,"blue","magenta",7,6,85,6,6,6,6,97,6,6,6,6,93,7,6,1,1,1,0,12,-4,8,-1,0,-1,0,0,0,0,1,1,0,0,0,"Undergraduate degree",32,"30-49","Liberal"
28,1990,"Virginia","3","Male","Democrat",1,"Consensus","2019-06-23 18:02:29","2019-06-23 18:03:59",90,NA,NA,NA,NA,19.358,NA,NA,"puce",NA,7,7,100,7,7,7,7,99,7,7,NA,NA,NA,NA,NA,0,1,0,0,-1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"Some college",29,"18-29","Liberal"
29,1954,"Florida","3","Female","Democrat",4,"Control","2019-06-23 17:29:22","2019-06-23 17:31:39",136,"2019-07-01 20:36:44","2019-07-01 20:37:39",54,20.12,NA,NA,NA,"blue","magenta",3,4,58,2,4,3,3,58,1,4,3,3,59,2,4,1,0,0,0,0,1,1,0,0,0,-1,0,-1,-1,1,0,0,0,0,"Some college",65,"50+","Moderate"
30,1977,"California","4","Male","Independent",3,"Balanced","2019-06-23 17:39:14","2019-06-23 17:41:51",156,"2019-06-30 14:30:44","2019-06-30 14:34:20",215,NA,13.328,NA,109.03,"blue","magenta",5,6,76,3,5,5,5,97,3,5,5,4,97,2,5,1,1,1,0,21,0,21,0,0,0,-1,-1,-2,0,-1,-1,0,0,0,"Undergraduate degree",42,"30-49","Liberal"
31,1975,"Maryland","5","Male","Independent",4,"Consensus","2019-06-23 16:19:54","2019-06-23 16:23:45",230,"2019-06-30 14:01:45","2019-06-30 14:03:27",101,NA,6.501,NA,NA,"blue","magenta",6,6,100,6,7,6,6,100,6,6,6,6,99,6,6,1,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,"Graduate degree",44,"30-49","Moderate"
32,1970,"New York","4","Male","Democrat",2,"Control","2019-06-23 17:49:30","2019-06-23 17:51:50",140,"2019-06-30 16:48:56","2019-06-30 16:50:07",70,15.335,NA,NA,NA,"blue","magenta",7,5,96,7,7,7,5,97,7,7,7,5,98,7,7,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",49,"30-49","Liberal"
33,1952,"Washington","4","Female","Republican",7,"Balanced","2019-06-23 17:27:19","2019-06-23 17:38:26",666,"2019-06-30 13:46:16","2019-06-30 13:57:12",656,NA,15.019,NA,148.555,"blue","magenta",5,5,50,4,5,5,5,70,4,5,4,4,3,4,4,1,1,1,0,20,-67,-47,0,-1,-1,0,-1,-1,0,0,0,0,-1,-1,"Undergraduate degree",67,"50+","Conservative"
34,1991,"Pennsylvania","5","Female","Democrat",2,"Control","2019-06-23 17:30:21","2019-06-23 17:33:22",180,"2019-07-01 20:03:14","2019-07-01 20:04:54",99,17.931,NA,NA,NA,"blue","magenta",7,7,97,6,6,7,6,97,6,6,7,6,97,6,7,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,1,"Graduate degree",28,"18-29","Liberal"
35,1977,"Kansas","4","Female","Independent",4,"Balanced","2019-06-23 18:03:16","2019-06-23 18:05:55",159,"2019-06-30 16:14:10","2019-06-30 16:16:17",126,NA,8.402,NA,39.262,"blue","magenta",5,4,95,4,5,5,5,97,4,5,5,5,97,4,6,1,1,1,0,2,0,2,0,0,0,1,0,1,0,0,0,0,1,1,"Undergraduate degree",42,"30-49","Moderate"
36,1959,"Arizona","3","Male","Independent",4,"Balanced","2019-06-23 16:10:17","2019-06-23 16:15:58",341,"2019-07-01 07:18:27","2019-07-01 07:20:37",129,NA,6.65,NA,26.841,"blue","magenta",7,6,90,5,7,7,5,97,5,7,4,5,90,4,5,1,1,1,0,7,-7,0,0,-3,-3,-1,0,-1,0,-1,-1,0,-2,-2,"Some college",60,"50+","Moderate"
37,1964,"Massachusetts","3","Female","Democrat",3,"Balanced","2019-06-23 16:55:35","2019-06-23 16:59:06",211,"2019-06-30 18:04:59","2019-06-30 18:08:40",220,NA,8.375,NA,112.356,"blue","magenta",7,6,25,7,7,7,6,33,7,7,7,5,33,7,7,1,1,1,0,8,0,8,0,0,0,0,-1,-1,0,0,0,0,0,0,"Some college",55,"50+","Liberal"
38,1988,"California","3","Female","Democrat",3,"Balanced","2019-06-23 17:25:03","2019-06-23 17:30:32",328,"2019-06-30 19:45:00","2019-06-30 19:48:59",239,NA,11.309,NA,75.659,"blue","magenta",7,5,70,6,7,7,6,97,7,7,7,6,97,6,7,1,1,1,0,27,0,27,0,0,0,1,0,1,1,-1,0,0,0,0,"Some college",31,"30-49","Liberal"
39,1990,"Texas","4","Male","Republican",6,"Balanced","2019-06-23 17:59:42","2019-06-23 18:18:47",1144,"2019-06-30 17:18:07","2019-06-30 17:24:23",376,NA,253.95,NA,27.045,"blue","magenta",5,3,95,2,3,5,3,94,2,3,5,4,97,1,2,1,1,1,0,-1,3,2,0,0,0,0,1,1,0,-1,-1,0,-1,-1,"Undergraduate degree",29,"18-29","Conservative"
40,1992,"Florida","2","Male","Independent",4,"Inoculation","2019-06-23 17:59:36","2019-06-23 18:09:05",569,"2019-06-30 15:13:05","2019-06-30 15:16:14",188,NA,NA,136.417,45.109,"blue","magenta",5,4,66,2,5,6,6,97,4,6,5,4,97,2,5,1,1,1,1,31,0,31,1,-1,0,2,-2,0,2,-2,0,1,-1,0,"High school graduate",27,"18-29","Moderate"
41,1983,"Florida","5","Male","Republican",6,"Inoculation","2019-06-23 17:50:46","2019-06-23 17:55:16",270,"2019-06-30 12:14:06","2019-06-30 12:16:49",163,NA,NA,86.96,63.988,"blue","magenta",4,4,90,4,5,4,5,90,4,5,4,4,90,4,5,1,1,1,1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,"Graduate degree",36,"30-49","Conservative"
42,1990,"Florida","2","Male","Republican",5,"Inoculation","2019-06-23 17:26:25","2019-06-23 17:30:20",235,"2019-06-30 14:33:33","2019-06-30 14:34:59",86,NA,NA,61.325,25.792,"blue","magenta",5,5,89,5,6,5,5,97,5,6,4,4,91,2,5,1,1,1,1,8,-6,2,0,-1,-1,0,-1,-1,0,-3,-3,0,-1,-1,"High school graduate",29,"18-29","Conservative"
43,1996,"Maryland","5","Male","Independent",4,"Consensus","2019-06-23 17:53:02","2019-06-23 17:58:07",304,"2019-06-30 15:32:55","2019-06-30 15:35:52",177,NA,8.285,NA,NA,"blue","magenta",5,4,90,5,5,6,4,90,5,5,6,5,95,5,5,1,1,0,0,0,5,5,1,0,1,0,1,1,0,0,0,0,0,0,"Graduate degree",23,"18-29","Moderate"
44,1981,"Washington","2","Male","Democrat",2,"Inoculation","2019-06-23 17:37:55","2019-06-23 17:40:07",132,"2019-06-30 19:01:39","2019-06-30 19:03:55",136,NA,NA,25.191,27.359,"blue","magenta",7,6,97,7,7,7,6,97,7,7,7,6,97,7,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"High school graduate",38,"30-49","Liberal"
45,1980,"Illinois","5","Female","Republican",6,"Control","2019-06-23 18:04:44","2019-06-23 18:08:04",200,"2019-06-30 16:21:59","2019-06-30 16:24:12",132,24.137,NA,NA,NA,"blue","magenta",3,3,70,3,5,3,3,70,3,5,6,4,72,3,5,1,0,0,0,0,2,2,0,3,3,0,1,1,0,0,0,0,0,0,"Graduate degree",39,"30-49","Conservative"
46,1981,"Maryland","2","Female","Independent",1,"Control","2019-06-23 17:07:45","2019-06-23 17:11:04",198,"2019-07-01 04:53:16","2019-07-01 04:54:58",101,26.09,NA,NA,NA,"blue","magenta",6,6,95,6,7,6,6,95,6,7,6,6,95,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"High school graduate",38,"30-49","Liberal"
47,1998,"New York","3","Female","Democrat",4,"Consensus","2019-06-23 17:49:20","2019-06-23 17:52:41",201,"2019-07-02 00:52:10","2019-07-02 00:53:41",91,NA,6.052,NA,NA,"blue","magenta",6,6,95,7,7,7,7,97,7,7,7,6,97,7,7,1,1,0,0,2,0,2,1,0,1,1,-1,0,0,0,0,0,0,0,"Some college",21,"18-29","Moderate"
48,1953,"Illinois","5","Male","Democrat",2,"Balanced","2019-06-23 17:51:54","2019-06-23 17:56:26",272,"2019-06-30 14:14:26","2019-06-30 14:19:49",323,NA,10.46,NA,101.216,"blue","magenta",7,7,99,7,7,7,7,97,7,7,7,7,97,7,7,1,1,1,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,"Graduate degree",66,"50+","Liberal"
49,1982,"Texas","3","Male","Republican",5,"Consensus","2019-06-23 17:42:06","2019-06-23 17:44:19",132,"2019-06-30 12:30:11","2019-06-30 12:31:36",84,NA,23.697,NA,NA,"blue","magenta",7,5,100,7,7,7,5,97,7,7,7,6,97,7,7,1,1,0,0,-3,0,-3,0,0,0,0,1,1,0,0,0,0,0,0,"Some college",37,"30-49","Conservative"
50,1977,"Texas","3","Male","Independent",5,"Consensus","2019-06-23 17:24:53","2019-06-23 17:26:38",104,"2019-07-01 04:13:15","2019-07-01 04:13:57",41,NA,6.192,NA,NA,"blue","magenta",5,2,62,2,2,5,2,97,2,2,5,2,51,2,2,1,1,0,0,35,-46,-11,0,0,0,0,0,0,0,0,0,0,0,0,"Some college",42,"30-49","Conservative"
51,1968,"Pennsylvania","4","Male","Republican",4,"Inoculation","2019-06-23 17:32:59","2019-06-23 17:36:10",191,"2019-06-30 14:32:45","2019-06-30 14:34:58",133,NA,NA,54.587,26.4,"blue","magenta",1,1,70,1,1,1,1,75,1,1,1,1,75,1,1,1,1,1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",51,"50+","Moderate"
52,1988,"California","4","Female","Independent",4,"Control","2019-06-23 17:00:01","2019-06-23 17:13:46",825,"2019-06-30 15:27:42","2019-06-30 15:28:19",37,12.346,NA,NA,NA,"blue","magenta",3,4,49,5,5,4,4,49,5,5,5,4,100,5,5,1,0,0,0,0,51,51,1,1,2,0,0,0,0,0,0,0,0,0,"Undergraduate degree",31,"30-49","Moderate"
53,1961,"New York","2","Male","Democrat",4,"Control","2019-06-23 17:04:24","2019-06-23 17:08:26",241,"2019-06-30 23:02:13","2019-06-30 23:04:16",123,30.284,NA,NA,NA,"blue","magenta",7,6,90,5,7,7,6,92,5,7,6,5,90,5,7,1,0,0,0,2,-2,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,"High school graduate",58,"50+","Moderate"
54,1988,"Minnesota","4","Male","Democrat",1,"Balanced","2019-06-23 17:43:40","2019-06-23 17:47:48",248,"2019-06-30 13:48:19","2019-06-30 13:52:23",243,NA,7.242,NA,60.586,"blue","magenta",7,6,98,6,7,7,6,97,6,7,7,6,97,7,7,1,1,1,0,-1,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,"Undergraduate degree",31,"30-49","Liberal"
55,1995,"Michigan","3","Male","Democrat",3,"Balanced","2019-06-23 16:29:16","2019-06-23 16:31:12",116,"2019-06-30 17:20:22","2019-06-30 17:21:58",96,NA,6.566,NA,40.837,"blue","magenta",7,7,97,5,6,7,7,97,5,6,7,6,97,5,6,1,1,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,"Some college",24,"18-29","Liberal"
56,1993,"Michigan","4","Female","Democrat",2,"Inoculation","2019-06-23 17:49:40","2019-06-23 17:56:20",399,"2019-06-30 14:43:19","2019-06-30 14:44:58",99,NA,NA,109.415,36.023,"blue","magenta",7,7,99,7,7,7,7,97,7,7,7,7,97,7,7,1,1,1,1,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",26,"18-29","Liberal"
57,1982,"North Carolina","4","Male","Democrat",2,"Balanced","2019-06-23 18:04:32","2019-06-23 18:06:40",128,"2019-06-30 13:49:43","2019-06-30 13:51:54",130,NA,6.141,NA,33.376,"blue","magenta",7,6,90,6,7,7,7,95,6,7,7,6,90,6,7,1,1,1,0,5,-5,0,0,0,0,1,-1,0,0,0,0,0,0,0,"Undergraduate degree",37,"30-49","Liberal"
58,1959,"Florida","3","Male","Other",6,"Inoculation","2019-06-23 17:49:11","2019-06-23 17:57:59",528,"2019-06-30 12:28:56","2019-06-30 12:32:32",216,NA,NA,120.993,58.354,"blue","magenta",1,2,30,2,2,2,4,50,2,3,1,2,70,2,3,1,1,1,1,20,20,40,1,-1,0,2,-2,0,0,0,0,1,0,1,"Some college",60,"50+","Conservative"
59,1987,"District of Columbia","5","Male","Democrat",1,"Control","2019-06-23 17:17:17","2019-06-23 17:19:44",146,"2019-06-30 15:35:46","2019-06-30 15:38:58",191,22.83,NA,NA,NA,"blue","magenta",7,7,99,7,7,7,7,99,7,7,7,7,99,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Graduate degree",32,"30-49","Liberal"
60,1967,"North Carolina","5","Male","Independent",2,"Control","2019-06-23 17:05:50","2019-06-23 17:08:41",171,NA,NA,NA,17.735,NA,NA,NA,"blue",NA,7,4,80,5,6,7,4,80,5,6,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"Graduate degree",52,"50+","Liberal"
61,1997,"Florida","3","Female","Democrat",2,"Control","2019-06-23 18:02:58","2019-06-23 18:05:05",127,"2019-07-01 04:12:43","2019-07-01 04:14:07",84,10.186,NA,NA,NA,"blue","magenta",7,6,93,6,7,7,6,93,6,7,7,6,94,7,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,"Some college",22,"18-29","Liberal"
62,1994,"Illinois","4","Female","Democrat",2,"Balanced","2019-06-23 16:19:32","2019-06-23 16:22:24",171,"2019-06-30 15:21:37","2019-06-30 15:23:24",106,NA,7.085,NA,42.526,"blue","magenta",5,3,61,4,4,4,3,70,4,4,4,4,20,3,5,1,1,1,0,9,-50,-41,-1,0,-1,0,1,1,0,-1,-1,0,1,1,"Undergraduate degree",25,"18-29","Liberal"
63,1985,"West Virginia","3","Male","Democrat",2,"Balanced","2019-06-23 17:14:37","2019-06-23 17:16:44",127,NA,NA,NA,NA,6.149,NA,NA,"blue",NA,6,6,80,5,7,6,6,97,6,7,NA,NA,NA,NA,NA,0,1,0,0,17,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,"Some college",34,"30-49","Liberal"
64,1966,"Utah","4","Male","Democrat",2,"Consensus","2019-06-23 17:58:21","2019-06-23 18:00:38",136,"2019-06-30 14:48:14","2019-06-30 14:49:25",71,NA,6.468,NA,NA,"blue","magenta",7,6,99,6,7,7,6,97,7,7,7,6,92,6,6,1,1,0,0,-2,-5,-7,0,0,0,0,0,0,1,-1,0,0,-1,-1,"Undergraduate degree",53,"50+","Liberal"
65,1992,"Illinois","5","Male","Democrat",2,"Control","2019-06-23 16:42:42","2019-06-23 16:44:19",97,NA,NA,NA,11.571,NA,NA,NA,"blue",NA,7,6,95,6,7,7,6,95,6,7,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"Graduate degree",27,"18-29","Liberal"
